Type de contenu,Titre,Texte principal,Questions,Réponses
Comptable,Quelles sont les obligations d’un expert-comptable ?,"Un expert-comptable doit offrir des prestations de qualité, respecter le code de déontologie, et souscrire une assurance responsabilité civile professionnelle. Il doit également fournir une lettre de mission définissant ses tâches et engagements. Le devoir de conseil l'oblige à informer son client des meilleures options pour son entreprise et à anticiper d’éventuels problèmes financiers ou fiscaux.",Quelles sont les obligations d’un expert-comptable ?,"Offrir des prestations de qualité, respecter le code de déontologie, avoir une assurance responsabilité civile, fournir une lettre de mission, et exercer un devoir de conseil."
Comptable,Quels sont les recours possibles en cas de litige avec un expert-comptable ?,"En cas de litige, l’entreprise peut consulter la lettre de mission pour connaître les démarches prévues. Le Conseil Régional de l’Ordre des Experts-Comptables peut être saisi pour une procédure de conciliation gratuite. Si aucun accord amiable n’est trouvé, une action en justice peut être intentée pour obtenir des dommages-intérêts, à condition que l’expert-comptable soit couvert par une assurance responsabilité civile.",Quels sont les recours possibles en cas de litige avec un expert-comptable ?,"Consulter la lettre de mission, saisir le Conseil Régional de l’OEC pour une conciliation, ou engager une action en justice pour dommages-intérêts."
Comptable,Comment assurer la bonne entente avec son expert-comptable ?,"Assurez-vous que l’expert-comptable est inscrit à l’Ordre des Experts-Comptables et a souscrit une assurance professionnelle. La lettre de mission doit clairement définir les prestations et les modalités de collaboration. Une communication ouverte et régulière est également essentielle pour une collaboration fructueuse. Il est important de choisir un expert-comptable compétent, qui maîtrise le secteur d’activité de l’entreprise.",Comment assurer la bonne entente avec son expert-comptable ?,"Vérifiez l’inscription à l’OEC, la souscription d’une assurance, définissez bien les prestations via la lettre de mission, et maintenez une communication ouverte."
Commissaire au compte,Quels sont les seuils de nomination d’un commissaire aux comptes ?,"La loi Pacte fixe les seuils qui rendent la nomination d’un commissaire aux comptes obligatoire pour les entreprises dépassant 2 des 3 critères suivants : total du bilan de 4 000 000 €, chiffre d’affaires hors taxes de 8 000 000 €, ou 50 salariés. Pour les SCI et SCPI, les seuils sont de 1 550 000 € de bilan, 3 100 000 € de chiffre d’affaires, ou 50 salariés. Les associations doivent nommer un commissaire aux comptes si elles reçoivent des subventions ou dons supérieurs à 153 000 €.",Quels sont les seuils de nomination d’un commissaire aux comptes ?,"Pour les entreprises : bilan de 4 000 000 €, chiffre d’affaires de 8 000 000 €, ou 50 salariés (au moins 2 seuils dépassés). Pour les SCI/SCPI : 1 550 000 € de bilan, 3 100 000 € de chiffre d’affaires, ou 50 salariés. Associations : subventions ou dons de plus de 153 000 €."
Commissaire au compte,Quand nommer un commissaire aux comptes ?,"La nomination d’un commissaire aux comptes commence à l’exercice suivant celui où les seuils sont dépassés. Si une entreprise ne remplit plus 2 des 3 critères pendant les 2 exercices précédant la fin du mandat, le renouvellement du commissaire aux comptes n’est plus obligatoire. Cependant, la fin du mandat doit être respectée avant l’exemption.",Quand doit-on nommer un commissaire aux comptes ?,"À l’exercice suivant le dépassement des seuils. Si les seuils ne sont plus dépassés pendant 2 exercices consécutifs avant la fin du mandat, la nomination n’est plus obligatoire."
Commissaire au compte,Quid des modalités de désignation d’un commissaire aux comptes ?,"La désignation d’un commissaire aux comptes varie selon le statut juridique de l’entreprise. Dans les SARL, SCA, SNC, et SCS, cela se fait en assemblée générale ordinaire. Pour une EURL, c’est une décision de l’associé unique. Pour une SA, la désignation se fait sur proposition du conseil d’administration. Pour une SAS, c’est une décision collective des associés.",Comment nommer un commissaire aux comptes selon le statut juridique ?,"SARL, SCA, SNC, SCS : en assemblée générale. EURL : par l'associé unique. SA : sur proposition du conseil d’administration. SAS : par décision collective des associés."
Comptabilité,Quelles sont les obligations comptables au sein d’une entreprise ?,"Les obligations comptables varient selon la taille, la forme juridique et le régime d’impôts de l’entreprise. Cependant, des règles communes s’appliquent : tenue de livres comptables, inventaire annuel, conservation des documents justificatifs, et dépôt des comptes annuels. Bien que la gestion puisse se faire sans expert-comptable, il est souvent conseillé de recourir à un professionnel ou à des logiciels de comptabilité.",Quelles sont les obligations comptables d’une entreprise ?,"Tenir les livres comptables, faire un inventaire annuel, conserver les documents justificatifs, et déposer les comptes annuels."
Comptabilité,Faut-il un expert-comptable pour gérer les obligations comptables ?,"Légalement, faire appel à un expert-comptable n'est pas obligatoire. Cependant, un professionnel apporte de l'expertise et aide à éviter des erreurs coûteuses. Pour plus de simplicité, il est aussi possible de faire appel à un expert-comptable en ligne ou d'utiliser des logiciels de comptabilité, qui offrent une gestion pratique des obligations comptables.",Est-il nécessaire de faire appel à un expert-comptable pour gérer les obligations comptables ?,"Non, ce n’est pas obligatoire, mais fortement conseillé pour assurer la précision et la conformité des comptes."
Comptabilité,Comment faciliter la gestion des obligations comptables ?,"Pour faciliter la gestion des obligations comptables, il est conseillé de faire appel à un expert-comptable expérimenté ou d’utiliser des logiciels de comptabilité. Ces outils aident à organiser les flux financiers et les documents justificatifs efficacement. Les obligations comptables aident aussi à suivre la santé financière de l’entreprise.",Quelles sont les solutions pour faciliter la gestion des obligations comptables ?,Recourir à un expert-comptable ou utiliser des logiciels de comptabilité pour une meilleure organisation.
Comptabilité,Qu’est ce que la saisie comptable ?,"La saisie comptable consiste à enregistrer toutes les opérations affectant le patrimoine d’une entreprise. Elle est effectuée à partir de pièces justificatives comme les factures, et peut être réalisée sur papier ou via des logiciels comptables. La saisie doit suivre un format précis et respecter le principe de la comptabilité en partie double, où les débits doivent toujours égaler les crédits.",Qu’est-ce que la saisie comptable ?,"La saisie comptable consiste à enregistrer les opérations financières dans des journaux comptables à partir des documents justificatifs, en suivant les normes comptables."
Comptabilité,Qui peut faire de la saisie comptable ?,"La saisie comptable est une tâche qui peut être réalisée par toute personne ayant des connaissances en comptabilité, notamment le chef d'entreprise ou un employé interne. Si une personne externe est désignée, elle doit être un expert-comptable. Dans les entreprises de plus grande taille, il est recommandé de faire appel à des experts-comptables utilisant des logiciels pour une gestion plus efficace.",Qui peut faire de la saisie comptable ?,"Toute personne ayant des connaissances en comptabilité peut effectuer la saisie comptable. Si une personne externe est impliquée, elle doit être un expert-comptable."
Comptabilité,Quels documents faut-il saisir ?,"Les documents comptables à saisir incluent les factures d'achat et de vente, ainsi que les factures de doit et d'avoir, les relevés bancaires, les journaux de paie, les avis d'impôts, la TVA, etc. Les devis et bons de commande ne sont pas requis. Ces documents sont enregistrés dans des journaux comptables comme les journaux d'achat, de vente, de caisse, ou de banque.",Quels documents faut-il saisir dans la saisie comptable ?,"Les factures d'achat et de vente, les relevés bancaires, les journaux de paie, les avis d'impôts et la TVA doivent être saisis. Les devis et bons de commande ne sont pas requis."
Domiciliation d'entreprise,Qu’est-ce que la domiciliation d’entreprise ?,"La domiciliation désigne l’adresse officielle d’une entreprise, qui peut être celle du siège social, d’un local commercial ou du domicile du propriétaire. Elle est importante pour l’identification de l’entreprise dans les documents officiels, tels que les contrats et les factures. Elle peut aussi se faire dans un lieu virtuel, pour les entreprises sans bureau physique.",Qu’est-ce que la domiciliation d’entreprise ?,"La domiciliation est l’adresse officielle de l’entreprise, utilisée dans les documents officiels et pour les contacts clients ou fournisseurs. Elle peut être physique ou virtuelle."
Domiciliation d'entreprise,Pourquoi choisir de domicilier son entreprise chez son comptable ?,"Domicilier son entreprise chez un expert-comptable offre plusieurs avantages, comme bénéficier de son expertise fiscale et administrative. Cela simplifie la gestion comptable, permet de se concentrer sur l’activité principale et de bénéficier du réseau et des conseils du comptable pour développer l’entreprise.",Pourquoi choisir de domicilier son entreprise chez son comptable ?,"Domicilier son entreprise chez un comptable permet de simplifier la gestion administrative, d'obtenir un soutien fiscal et financier, et de bénéficier de son expertise pour le développement de l’entreprise."
Domiciliation d'entreprise,Comment être sûr de ne pas se tromper ?,"Avant de domicilier votre entreprise chez un expert-comptable, il est essentiel de vérifier que celui-ci est habilité à exercer cette activité. Il est également important de s’assurer que l’adresse choisie correspond aux besoins de l’entreprise et est conforme aux règles en vigueur.",Comment être sûr de ne pas se tromper dans la domiciliation de son entreprise ?,Vérifiez que l’expert-comptable est habilité à domicilier une entreprise et que l’adresse choisie répond aux besoins et à la conformité légale de votre société.
Choix d'un expert-comptable,Les critères à prendre en compte pour choisir un expert-comptable en ligne,"Pour choisir un expert-comptable en ligne, il est essentiel de déterminer vos besoins en matière de comptabilité et d’accompagnement. Vérifiez si l’expert connaît bien les réglementations fiscales et les besoins spécifiques de votre entreprise. Tenez compte aussi du coût des services et de la fiabilité du professionnel.",Quels sont les critères à prendre en compte pour choisir un expert-comptable en ligne ?,"Déterminez vos besoins en comptabilité, vérifiez l'expertise fiscale, le coût des services, et assurez-vous de la fiabilité et des qualifications de l'expert-comptable."
Choix d'un expert-comptable,Comment trouver un expert-comptable en ligne ?,"Pour trouver un expert-comptable en ligne fiable, demandez des recommandations à votre entourage ou faites des recherches en ligne. Consultez les avis clients, contactez plusieurs cabinets pour obtenir des informations sur leurs services et comparez les devis.",Comment trouver un expert-comptable en ligne ?,"Commencez par demander des recommandations, consultez les sites Web des experts-comptables en ligne, lisez les avis des clients, et comparez les services et devis."
Choix d'un expert-comptable,Quel est le coût moyen d’un expert-comptable en ligne ?,"Le coût moyen d'un expert-comptable en ligne est d'environ 100 euros par mois, offrant l'accès à une large gamme d'outils et de services, ainsi qu'un support continu. Des forfaits gratuits ou réduits peuvent être disponibles pour les petites entreprises ou start-ups.",Quel est le coût moyen d’un expert-comptable en ligne ?,"Le coût moyen est d’environ 100 euros par mois, incluant des services complets et un support continu, avec des options réduites pour les petites entreprises."
Choix d'un expert-comptable,Quelles sont les principales erreurs à éviter lorsqu’on fait appel à un expert-comptable en ligne ?,"Pour éviter des erreurs fréquentes, assurez-vous de vérifier les qualifications de l'expert-comptable, les services offerts, les frais et les détails de l'accord avant de signer. Demandez des références et des estimations pour comprendre l'offre en toute transparence.",Quelles sont les principales erreurs à éviter lorsqu’on fait appel à un expert-comptable en ligne ?,"Vérifiez les qualifications, renseignez-vous sur les services et les frais, et assurez-vous de bien comprendre les termes de l'accord avant de signer."
Comptabilité d'une SCI,Comment fonctionne la comptabilité dans une SCI ?,"La comptabilité dans une SCI dépend du régime fiscal choisi. Pour une SCI soumise à l'impôt sur le revenu, la comptabilité n'est pas obligatoire, mais il est conseillé de tenir un minimum de comptabilité pour suivre les recettes et les dépenses. En revanche, pour certaines SCI, une comptabilité complète est requise, notamment celles soumises à l'impôt sur les sociétés.",Comment fonctionne la comptabilité dans une SCI ?,"La comptabilité dépend du régime fiscal : pour les SCI à l'IR, elle est facultative mais recommandée, tandis que pour les SCI à l'IS ou certaines autres situations, une comptabilité complète est obligatoire."
Comptabilité d'une SCI,Peut-on gérer sa comptabilité soi-même dans une SCI ?,"Il est possible de gérer soi-même la comptabilité d'une SCI si l'on dispose des compétences nécessaires. Cependant, cela peut devenir complexe, surtout pour les aspects plus techniques. Une formation en comptabilité ou l'aide d'un expert-comptable pour certains travaux peut être une bonne option.",Peut-on gérer sa comptabilité soi-même dans une SCI ?,"Oui, il est possible de gérer la comptabilité soi-même, mais cela demande des compétences spécifiques. L'aide d'un expert-comptable pour certaines tâches est recommandée."
Comptabilité d'une SCI,Les avantages de tenir sa comptabilité soi-même dans une SCI,Tenir sa comptabilité soi-même permet de réduire les coûts liés aux honoraires d'un expert-comptable. Cela permet également une meilleure compréhension de la situation financière de l'entreprise et une réactivité accrue en cas de résultats négatifs.,Quels sont les avantages de tenir sa comptabilité soi-même dans une SCI ?,Les avantages incluent des économies sur les honoraires d'expert-comptable et une meilleure compréhension de la situation financière pour réagir rapidement en cas de mauvais résultats.
Comptabilité d'une SCI,Les risques de tenir sa propre comptabilité dans une SCI,"Gérer la comptabilité soi-même comporte des risques, notamment des erreurs qui peuvent entraîner des sanctions importantes. Des erreurs dans la déclaration comptable peuvent entraîner des amendes élevées et des peines de prison pour le dirigeant.",Quels sont les risques de tenir sa propre comptabilité dans une SCI ?,Les risques incluent des erreurs pouvant entraîner des amendes jusqu'à 500 000 euros et des peines de prison pour le dirigeant en cas de compte inexact.
Ouvrir un compte professionnel,Pourquoi ouvrir un compte bancaire professionnel ?,"Ouvrir un compte bancaire professionnel permet de séparer votre patrimoine personnel de celui de votre entreprise. Cela simplifie la gestion financière et les opérations fiscales. Bien que non obligatoire pour tous les entrepreneurs, il est recommandé pour une gestion plus claire et plus professionnelle de vos finances.",Pourquoi ouvrir un compte bancaire professionnel ?,"Un compte bancaire professionnel permet de séparer votre patrimoine personnel de celui de l'entreprise, facilitant ainsi la gestion et les démarches administratives, tout en assurant une meilleure organisation des finances."
Ouvrir un compte professionnel,L’ouverture d’un compte bancaire professionnel est-elle obligatoire ?,"L'ouverture d'un compte bancaire professionnel n'est obligatoire que si vous créez une société. Dans le cas d'une auto-entreprise avec un chiffre d'affaires annuel inférieur à 10 000 euros, un compte personnel dédié peut suffire. Pour les entreprises individuelles, il n'est pas nécessaire d'ouvrir un compte professionnel.",L’ouverture d’un compte bancaire professionnel est-elle obligatoire ?,"Un compte bancaire professionnel est obligatoire uniquement pour les sociétés. Les auto-entrepreneurs ou les entreprises individuelles n'ont pas l'obligation d'ouvrir un compte pro, sauf conditions spécifiques."
Ouvrir un compte professionnel,Quels sont les documents demandés pour ouvrir un compte professionnel ?,"Les banques demandent plusieurs documents pour l'ouverture d'un compte professionnel. Les principaux sont le justificatif d'identité, le justificatif de domiciliation, un justificatif d'activité professionnelle, et les statuts de l'entreprise ou un projet de statuts.",Quels sont les documents demandés pour ouvrir un compte professionnel ?,"Les documents nécessaires incluent le justificatif d'identité, le justificatif de domiciliation, le justificatif d'activité professionnelle, et les statuts de l'entreprise ou un projet de statuts."
Assurance,Pourquoi assurer son entreprise ?,"L’assurance est essentielle pour protéger votre entreprise contre les risques financiers et juridiques. Bien que non obligatoire pour toutes les entreprises, elle est vivement conseillée pour couvrir la responsabilité en cas de dommages, de pertes ou de litiges. L’assurance permet de réduire les risques financiers, d’assurer la continuité de l’activité et de se protéger contre les pertes importantes.",Pourquoi assurer son entreprise ?,"Assurer son entreprise permet de protéger son patrimoine contre les risques financiers et juridiques. Elle couvre les pertes dues à des dommages causés à autrui, la responsabilité civile et les litiges commerciaux."
Assurance,Est-il obligatoire d’assurer une entreprise ?,"Certaines entreprises et secteurs d’activité doivent être assurés par la loi, tels que les entreprises de transport, les entreprises de construction, et les professions réglementées. Bien que la loi ne l’impose pas à toutes les entreprises, il est fortement recommandé de souscrire une assurance pour se protéger contre des risques majeurs et garantir la pérennité de l’entreprise.",Est-il obligatoire d’assurer une entreprise ?,"Bien que toutes les entreprises ne soient pas légalement tenues de s'assurer, certaines professions et secteurs, comme la construction et le transport, doivent obligatoirement souscrire une assurance pour couvrir les risques liés à leur activité."
Assurance,L’obligation d’assurance concerne quelles entreprises ou professions ?,"Certaines professions, comme celles du bâtiment, de la santé, du droit et du transport, sont tenues par la loi de souscrire une assurance responsabilité civile professionnelle. Ces assurances couvrent les dommages causés à autrui, que ce soit dans le cadre de la prestation de services ou des activités commerciales. Les entreprises de ces secteurs doivent se conformer aux obligations légales pour éviter des sanctions.",L’obligation d’assurance concerne quelles entreprises ou professions ?,"Les entreprises de construction, de transport, les professionnels de santé, du droit, et les métiers impliquant des véhicules à moteur sont tenus par la loi de souscrire une assurance responsabilité civile professionnelle."
Solutions de mobilisation de créances,Cession Dailly,"La Cession Dailly, ou Bordereau Dailly, est une technique financière introduite par la loi du 2 janvier 1981 et modifiée en 1984. Elle permet à un créancier de céder ses créances professionnelles, telles que les factures ou honoraires, ainsi que les garanties et sûretés qui y sont associées, à un établissement de crédit. En échange, le créancier reçoit de la banque une avance correspondant au montant des créances.",Qu'est-ce que la Cession Dailly ?,La Cession Dailly permet à un créancier de céder ses créances professionnelles à un établissement de crédit en échange d'une avance sur le montant des créances cédées.
Médiateur bancaire,Médiateur bancaire : comment y recourir ?,"Si vous avez un litige avec votre banque et n'avez pas pu le résoudre seul, vous pouvez saisir le médiateur bancaire. Ce dernier cherche des solutions dans un délai court pour résoudre le conflit. Avant de saisir le médiateur, vous devez avoir tenté de résoudre le litige avec votre conseiller et votre service client. Si aucune solution n'est trouvée dans un délai de 2 mois, vous pouvez recourir au médiateur.",Comment recourir à un médiateur bancaire ?,"Vous devez d'abord tenter de résoudre le litige avec votre conseiller bancaire et le service client. Si cela échoue, vous pouvez saisir le médiateur en ligne ou par courrier, en prouvant vos démarches préalables. La médiation est gratuite et doit aboutir à une réponse dans un délai de 90 jours."
Médiation du crédit,Comment déposer un dossier pour la médiation du crédit ?,"Le dépôt d’un dossier est la première étape pour saisir la Médiation du crédit. Avant de saisir le dossier, il est important de bien préparer toutes les informations nécessaires, telles que vos données personnelles, la situation de votre entreprise, et les documents justificatifs, notamment l'attestation d'un expert-comptable ou d'un commissaire aux comptes dans le cadre des Prêts Garantis par l'État (PGE). Vous devrez aussi prouver que vous avez contacté votre banque et qu'elle vous a orienté vers la médiation.",Comment déposer un dossier pour saisir la médiation du crédit ?,"Pour déposer un dossier, vous devez remplir un formulaire en ligne comprenant plusieurs volets : vos informations personnelles, celles de votre entreprise, vos établissements financiers, votre situation financière et vos difficultés. Après avoir complété le dossier, vous recevrez un fichier PDF à télécharger et sauvegarder. Si vous avez un PGE, vous devez joindre les documents demandés, comme une attestation d’expert-comptable, et pour un PGE supérieur à 50 000 €, contacter le conseiller départemental."
Médiation du crédit,Quelles démarches pour bénéficier de la médiation du crédit ? Qu'est-ce que j'ai à remplir ?,"Pour bénéficier de la médiation du crédit, vous devez d'abord vous assurer que votre demande est éligible. Ensuite, vous devez remplir un formulaire en ligne en fournissant des informations sur votre entreprise, vos établissements financiers, ainsi que la nature de vos difficultés. Pour les demandes concernant un Prêt Garanti par l'État (PGE), des documents justificatifs comme une attestation d’expert-comptable ou de commissaire aux comptes seront nécessaires. Si le PGE dépasse 50 000 €, vous devez aussi contacter un conseiller départemental.",Quelles démarches dois-je suivre pour bénéficier de la médiation du crédit ? Qu'est-ce que j'ai à remplir ?,"Vous devez remplir un formulaire en ligne avec vos informations personnelles, celles de votre entreprise, vos établissements financiers, votre situation financière et les difficultés rencontrées. En fonction de la situation de votre entreprise et du type de PGE, vous devrez joindre des documents justificatifs, comme une attestation d'expert-comptable, et si le PGE dépasse 50 000 €, contacter le conseiller départemental avant de soumettre votre demande."
Commissaires aux Restructurations et Prévention des difficultés des entreprises,Commissaires aux Restructurations et Prévention des difficultés des entreprises,"Les Commissaires aux Restructurations et Prévention des difficultés des entreprises (CRP) sont des acteurs clés dans l’accompagnement des entreprises en difficulté. Leur mission consiste à anticiper les problèmes financiers des entreprises, en particulier celles industrielles de plus de 50 salariés. Ils sont positionnés auprès des préfets de région et travaillent en collaboration avec les services de l'État, les collectivités territoriales et les acteurs privés pour apporter un soutien rapide et adapté. Leur intervention peut aller de la prévention des difficultés à l’accompagnement dans les procédures de restructuration, en passant par la gestion des crises financières.",Quels sont les rôles et missions des Commissaires aux Restructurations et Prévention des difficultés des entreprises ?,"Les CRP sont des points d’entrée pour les entreprises en difficulté, offrant un soutien en lien avec les services publics et les acteurs privés. Leur mission comprend la prévention des difficultés financières, l’accompagnement en procédure de restructuration, ainsi que la gestion des crises, comme celles générées par la pandémie de Covid-19 ou la crise ukrainienne. Ils mobilisent les leviers financiers adaptés et coordonnent les actions des acteurs locaux et nationaux pour garantir la continuité de l’activité des entreprises."
Médiation,Qu'est-ce que la médiation ?,"La médiation est un mode amiable de résolution des différends (MARD) où un tiers neutre, le médiateur, intervient pour aider les parties à restaurer la confiance et résoudre leurs conflits, que ce soit entre entreprises ou entre entreprises et acheteurs publics. Ce processus de négociation est volontaire, basé sur la responsabilité des parties et assure une confidentialité totale. Les parties peuvent y mettre fin à tout moment.",Qu'est-ce qu'un médiateur ?,"Un médiateur est un professionnel neutre et impartial, formé à la médiation. Contrairement à un juge, un expert ou un arbitre, il n'émet pas de jugement mais aide les parties à trouver un compromis. Les médiateurs respectent des principes de confidentialité, de neutralité et d'indépendance. Ils sont tous formés et exercent régulièrement la médiation pour maintenir leur expertise."
Médiation,Qu'est-ce qu'un médiateur ?,"Le médiateur n'est ni juge, ni expert, ni arbitre, ni conciliateur. Il respecte des principes essentiels : la confidentialité, la neutralité, l'indépendance et l'impartialité. Chaque partie, y compris le médiateur, s'engage à ne pas divulguer d'informations relatives à la médiation. Le médiateur aide les parties à rechercher un compromis sans prendre de décision personnelle et reste indépendant, sans lien avec les parties. Tous les médiateurs sont formés et maintiennent leur expertise grâce à une pratique régulière.",Quelles sont les qualités d'un médiateur ?,"Un médiateur doit être formé, neutre, impartial et respecter la confidentialité des informations partagées. Il ne prend pas de décision à la place des parties mais les guide vers une solution mutuellement acceptable, tout en assurant une gestion indépendante et sans conflit d'intérêt."
Médiation des entreprises,Pourquoi et comment nous saisir ?,"La Médiation des entreprises offre un service gratuit, rapide (moins de trois mois) et confidentiel. Elle permet de résoudre des différends sans passer par les procédures judiciaires, tout en préservant le secret des affaires et la réputation des entreprises. La médiation aide à dénouer les blocages dans les relations d’affaires et déleste ainsi les tribunaux des cas pouvant être résolus à l’amiable.",Comment saisir la Médiation des entreprises ?,"Pour saisir la Médiation des entreprises, il suffit de faire une demande en ligne. Vous serez recontacté par un médiateur dans les jours qui suivent. Vous pouvez également poser des questions ou demander des conseils de manière confidentielle avant de soumettre votre dossier via le formulaire de contact."
Médiation des entreprises,Comment se déroule une médiation ?,"La médiation commence par l'étude de la recevabilité du dossier. Un médiateur prend contact avec la personne saisissante dans un délai de 7 jours pour définir un schéma d’action. Ensuite, il se rapproche de la partie saisie pour l'amener à accepter la médiation. Lorsque les deux parties sont prêtes, le médiateur réunit les « médiés » pour démarrer le processus de médiation. Après un constat de « d’accord sur le désaccord », des solutions communes sont élaborées. Ces solutions peuvent aboutir à différentes formes de conclusion, la plus aboutie étant un protocole d'accord rédigé et signé par les médiés.",Comment se déroule le processus de médiation ?,"Une médiation commence par l’étude de la recevabilité du dossier et un premier contact entre le médiateur et le saisissant. Le médiateur ensuite rapproche les parties pour les amener à accepter le processus. Une fois les parties réunies, des solutions communes sont élaborées. La médiation peut durer de quelques heures à 2-3 mois et, dans 75 % des cas, elle aboutit à un accord gagnant-gagnant, renforçant les relations entre les parties."
Médiation des entreprises,Principes d'action,"La médiation est un processus volontaire et gratuit, centré sur la résolution des différends dans le respect des principes de confidentialité, neutralité, indépendance et impartialité. Le médiateur des entreprises aide à rétablir la confiance et faciliter des solutions communes entre les médiés. Il est essentiel que toutes les parties respectent la confidentialité et adhèrent aux conditions d’action définies. Les délais de prescription peuvent être suspendus durant la médiation et sa durée est généralement de trois mois. La médiation peut aboutir à un accord formalisé ou être clôturée si la solution n'est pas trouvée.",Quels sont les principes d'action d'une médiation ?,"Les principes d'action d'une médiation incluent la confidentialité, la neutralité, l'indépendance et l'impartialité du médiateur. Le processus repose sur un engagement volontaire des parties pour résoudre le différend à l'amiable, avec un contrôle des délais de prescription et une durée maximale de trois mois. La médiation peut aboutir à un accord ou être arrêtée si elle est jugée impossible par le médiateur."
Médiation des entreprises,Conditions d'éligibilité,"Le Médiateur des entreprises peut intervenir dans des différends liés à la relation client/fournisseur, l'application des clauses contractuelles, ou les conflits relatifs aux contrats ou marchés publics. Les entreprises en procédures collectives ne sont pas éligibles, mais peuvent se rapprocher du tribunal pour une médiation judiciaire. En cas d’action judiciaire en cours, la médiation est appréciée au cas par cas. La médiation suspend les délais de recours contentieux dans le cadre d’un litige entre entreprises ou concernant une commande publique. Les demandes doivent viser des relations d’affaires durables, et les montants en litige sont généralement supérieurs à 1500€.",Quelles sont les conditions d'éligibilité pour saisir le Médiateur des entreprises ?,"Le Médiateur des entreprises intervient dans des litiges contractuels ou non contractuels, mais exclut les entreprises en procédures collectives. Les entreprises en action judiciaire peuvent saisir le médiateur au cas par cas. La médiation suspend les délais de recours contentieux et concerne généralement des montants supérieurs à 1500€, tout en nécessitant des relations d’affaires durables."
Médiation des entreprises,Un problème lié à la commande publique : CCRA ou Médiateur des entreprises ?,"L’article 142 du décret 2016-360 du 25 mars 2016 relatif aux marchés publics définit les conditions de recours au Médiateur des entreprises pour les litiges concernant l’exécution des marchés publics. Les Comités Consultatifs de Règlement Amiable des litiges (CCRA) émettent un avis non contraignant, tandis que le Médiateur des entreprises cherche à faire émerger une solution acceptée par les deux parties par la confiance et le dialogue. Ces deux options offrent des alternatives selon la nature et l’urgence du conflit.",Quel recours choisir en cas de litige dans l'exécution d'un marché public : CCRA ou Médiateur des entreprises ?,"Le CCRA émet un avis non contraignant, tandis que le Médiateur des entreprises facilite le dialogue entre les parties pour trouver une solution acceptée par les deux parties, en maintenant une relation commerciale stable. Le choix dépend de la nature du conflit et de son urgence."
Cotisations et contributions sociales,Demander un délai de paiement,"Si vous rencontrez des difficultés dans le paiement de vos cotisations et contributions sociales, l’Urssaf vous accompagne et vous guide pour effectuer une demande de délai de paiement. Pour en bénéficier, envoyez votre demande, en priorité depuis votre espace en ligne ou, à défaut, par courrier.",Quelles démarches dois-je suivre pour demander un délai de paiement ?,"Lorsque vous effectuez une demande de délai de paiement, un échéancier de votre dette peut être mis en place, pour une durée maximale de 12 mois. Vous devez motiver votre demande en mentionnant le contexte, les difficultés rencontrées, les actions mises en œuvre et la durée estimée nécessaire pour rétablir votre situation. Vous devez également fournir les documents pertinents comme le montant des cotisations et autres dettes de l’entreprise."
Cotisations et contributions sociales,Le traitement de votre demande,"Si votre demande comporte tous les éléments nécessaires à son étude, vous recevrez une première réponse dans un délai de 48 heures (si vous l'avez réalisée en ligne) ou dans un délai de 15 jours pour toutes les autres formes de demandes. Si des informations manquent, l'Urssaf vous contactera dans ce même délai pour vous indiquer les éléments manquants.",Quel est le délai de réponse pour une demande de délai de paiement ?,"Si votre demande est complète, l’Urssaf vous répondra dans les 48 heures si elle a été effectuée en ligne, ou sous 15 jours si elle a été envoyée par courrier. En cas de demande incomplète, un contact sera établi pour préciser les documents ou informations manquantes."
Cotisations et contributions sociales,L’accord de délai,"Si votre demande de délai de paiement est acceptée, vous recevrez un accord de délai accompagné d'un échéancier de paiement. Vous devrez respecter les dates indiquées dans cet échéancier. Il est également important de noter qu'une mise en demeure peut être envoyée, mais elle ne remet pas en cause l'accord de délai.",Que se passe-t-il après l’acceptation de ma demande de délai de paiement ?,"Lorsque votre demande est acceptée, vous recevrez un accord de délai de paiement accompagné d’un échéancier à respecter. Une mise en demeure peut vous être envoyée, mais cela ne remet pas en cause votre accord de délai. Vous pouvez consulter l'accord à tout moment dans votre espace personnel."
Cotisations et contributions sociales,Bon à savoir,"Si vous êtes employeur, vous devez avoir effectué et transmis votre déclaration sociale nominative (DSN) à l’Urssaf, même si vous n'êtes pas en mesure de régler le montant dû. Vous devez également avoir payé la totalité des cotisations salariales pour bénéficier d’un délai de paiement.",Que dois-je faire pour demander un délai de paiement en tant qu'employeur ?,"En tant qu’employeur, pour demander un délai de paiement, vous devez avoir effectué votre déclaration sociale nominative (DSN) à l’Urssaf, même si vous n’êtes pas en mesure de régler le montant dû. Vous devez aussi avoir payé la totalité des cotisations salariales avant d’envoyer votre demande."
Cotisations et contributions sociales,Les majorations de retard,"Les majorations de retard sont appliquées dès que la date limite de paiement des cotisations et contributions est dépassée. Elles sont de deux types : les majorations initiales (5% des cotisations dues) et les majorations complémentaires (0,20% par mois ou fraction de mois écoulé). Ces dernières sont calculées après paiement complet des cotisations et contributions dues, et peuvent s'accumuler chaque mois jusqu'à régularisation.",Quels sont les types de majorations de retard ?,"Il existe deux types de majorations : les majorations de retard initiales à hauteur de 5% des cotisations dues, et les majorations complémentaires à 0,20% par mois ou fraction de mois écoulé après la date d'exigibilité des cotisations et contributions."
